序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
8475,9e1f97e719a0f160,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,pageName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8476,41523b97808451d0,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestErrorMsg,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8477,32dea2557c3fb51f,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestErrorType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8478,8be52489dc2999a5,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8479,699750b46f1ed33b,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestMethod,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8480,6380f1081e090de0,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8481,be762fbd74b14e82,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestProtocolType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8482,127be7329400ca40,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8483,f62c0a5c10d7b44f,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestStatus,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8484,1d52486f90a96d79,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,requestStatusCode,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8485,ad259e60bf0c2fd,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8486,a72f4c5b29dfabda,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,serviceDetectedName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8487,ac8898ef279a94a6,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8488,609b4d07f4934ae9,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,url,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8489,fd6f0938dc433ef6,testTitanQueryVsQueryService,one.query.rum.net.resource.slowDeviceIdUniq12,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8490,af12b0e18294fec6,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8491,53c72bef56d4eafe,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8492,fdaa1851fd2aeefb,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8493,b27d0e515b65860c,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8494,95114bdd2c3014bd,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8495,6c7c333dc74c965e,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8496,647792172fa1a512,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8497,2e7184c244c5142d,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8498,96e726d34b9a2c76,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8499,1094043ca86837fc,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8500,f7e0147cc9b609a5,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8501,c5479ed6aa641ec0,testTitanQueryVsQueryService,one.query.rum.h5.interactiveTime,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8502,bde1cb4f1ddc622e,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8503,4891c2bb000315e4,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,appGround,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8504,f02e841586ef62ba,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8505,4e7812ed747efc63,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8506,932f23e9a09b7d42,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8507,42dd1c76fdf0cc75,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8508,69e1fbb7bdc1ccf7,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8509,2bfddcbbf0e5d382,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8510,a8da0022f6e30137,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,clientDeviceName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8511,d55abf5c270bc2cc,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8512,6fea350e48e67c14,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8513,231d32ee3e896672,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8514,a98f9a28138ce100,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8515,9e773817aa40289c,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8516,8355bd6095f44e56,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,firstCrash,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8517,cde072c00cca73c8,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8518,b87d961b98efdb23,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8519,16e4c0803c99e5dc,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8520,f235806f925e9915,testTitanQueryVsQueryService,one.query.rum.selfcrash.deviceIdUniq12,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8521,8ea5a4001c702dac,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8522,e0d1686f7ad85a62,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8523,f3134effeeb9bea3,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8524,d391995955dc1e7b,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8525,11e12bfd8a2fc193,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8526,2458790360e5cd27,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8527,f9da60c71261f8f4,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8528,8e1e4b06b8c5b841,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,clientDeviceName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8529,55081788e1d9ca4a,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8530,b6dbfab6d866d923,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8531,55bd10fe5f739f4e,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8532,bc21a4077a31005,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8533,7cdd70817de4bc1,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8534,6fb9ea30a8174fd,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8535,dc528039c7fbc2e3,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,netserviceId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8536,f2671a74b6ad935a,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8537,63c0127820fcd1c1,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8538,12a3db2bdbebb956,testTitanQueryVsQueryService,one.query.rum.terminal.eventNum,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8539,e9f4ec7e95c551ae,testTitanQueryVsQueryService,one.query.rum.view.launchNum,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8540,7ff67306f2ce7596,testTitanQueryVsQueryService,one.query.rum.view.launchNum,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8541,ec2578000e5534ec,testTitanQueryVsQueryService,one.query.rum.view.launchNum,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8542,5dbb624ecee436a9,testTitanQueryVsQueryService,one.query.rum.view.launchNum,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8543,e3564786ae6d7e11,testTitanQueryVsQueryService,one.query.rum.view.launchNum,clientDeviceName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8544,75dfb563a4b34709,testTitanQueryVsQueryService,one.query.rum.view.launchNum,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8545,96b99549bff3fb1b,testTitanQueryVsQueryService,one.query.rum.view.launchNum,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8546,494446a7ed5b78e4,testTitanQueryVsQueryService,one.query.rum.view.launchNum,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8547,f321fdc5b702fc7c,testTitanQueryVsQueryService,one.query.rum.view.launchNum,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8548,722dd58b363dfcd2,testTitanQueryVsQueryService,one.query.rum.view.launchNum,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8549,42051c590cb6f125,testTitanQueryVsQueryService,one.query.rum.view.launchNum,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8550,f34ffe5a66960c2e,testTitanQueryVsQueryService,one.query.rum.view.launchNum,onPageName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8551,99a9c5a3e75ec8d4,testTitanQueryVsQueryService,one.query.rum.view.launchNum,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8552,6e9a83c58efa99e6,testTitanQueryVsQueryService,one.query.rum.view.launchNum,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8553,a8918ab59190358a,testTitanQueryVsQueryService,one.query.rum.view.launchNum,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8554,e547b5bc9bf878f9,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8555,403d40df66463746,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8556,6f0a0c3bc84e974d,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8557,56596c09bd58651d,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8558,9620fe297f8d4930,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,cdnName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8559,ca175f766d4f3980,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8560,7a81b46ea7719022,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8561,64c75441c5cb93c5,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8562,93c67fa6ceace0b3,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8563,903c9e4891749a8d,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8564,4f61a8c499959911,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8565,7a573b11c8cda382,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8566,d7ea5951d85121ee,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,metaType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8567,5e687d5670bd80ca,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8568,f0ec72f842690413,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,netserviceId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8569,ebee799da39f3e96,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,pageId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8570,93dc888ac409be1b,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,pageName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8571,d1221c3e5e6b9ae7,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8572,1e6c8ab22a749cb8,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,serviceDetectedName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8573,e35af4a2d847edd6,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8574,f4125cef4a86a60f,testTitanQueryVsQueryService,one.query.rum.net.downloadSize,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8575,ec4afd0ae5f3d1ae,testTitanQueryVsQueryService,one.query.host.system.sampleCount,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8576,ad8bfdf8b87c20ba,testTitanQueryVsQueryService,one.query.host.system.sampleCount,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8577,d4c5fb3594af247f,testTitanQueryVsQueryService,one.query.host.system.sampleCount,datasetId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8578,10a4c62f139192c3,testTitanQueryVsQueryService,one.query.host.system.sampleCount,networkZoneId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8579,b5edc805b6696ad3,testTitanQueryVsQueryService,one.query.host.system.sampleCount,operatingSystemType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8580,25c67b00af4750c7,testTitanQueryVsQueryService,one.query.host.system.sampleCount,operatingSystemVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8581,78ec502f4474e482,testTitanQueryVsQueryService,one.query.host.system.sampleCount,virtualization,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8582,85569a220866da5e,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8583,2a91fa84335d2aa2,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8584,4ca0c4262d40c74f,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8585,77734c2029b2726e,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8586,aa968a2ff2e63859,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8587,1dfaef937df39e0b,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8588,626f8f571585732b,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,clientBrandName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8589,770147456e0e851,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,clientDeviceName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8590,e0f3a0d2ad4df540,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8591,28cf582a079b5bb1,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8592,efddb9f98ab1f091,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8593,5de96d8e372fa0b2,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8594,73d6432a2ab9d82f,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8595,963af1b701fd8302,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8596,b457df6fda696267,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8597,94577a737db51f06,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,netserviceId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8598,41b35d02de4d2e25,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8599,7d5ed8de5db99ea9,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8600,5110006725b5b9f0,testTitanQueryVsQueryService,one.query.rum.terminal.viewSlowRequestNum,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8601,9f94632ea9bdde10,testTitanQueryVsQueryService,one.query.rum.h5.fcp,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8602,8780e5c87a6f7c2e,testTitanQueryVsQueryService,one.query.rum.h5.fcp,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8603,b32198788c2c7b3d,testTitanQueryVsQueryService,one.query.rum.h5.fcp,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8604,adf2fd2beb626b4b,testTitanQueryVsQueryService,one.query.rum.h5.fcp,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8605,5e268f274e1f0c90,testTitanQueryVsQueryService,one.query.rum.h5.fcp,clientOsName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8606,3f1191054ebc957d,testTitanQueryVsQueryService,one.query.rum.h5.fcp,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8607,56f9ed35252c5492,testTitanQueryVsQueryService,one.query.rum.h5.fcp,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8608,4c7574239c329ee5,testTitanQueryVsQueryService,one.query.rum.h5.fcp,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8609,6f33e94e4beb2312,testTitanQueryVsQueryService,one.query.rum.h5.fcp,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8610,e8da25f53100d3fd,testTitanQueryVsQueryService,one.query.rum.h5.fcp,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
8611,444e68197bb6c80,testTitanQueryVsQueryService,one.query.rum.h5.fcp,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
